epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.341,3.74621,4.91073,3.67801,0.32855,0.08125,0.05608,0.02108,2.72205,4.02383,3.10879,8.75873e-05,8.75873e-05,8.75873e-05
2,892.022,2.43036,3.03428,2.46922,0.49143,0.3559,0.36703,0.18343,2.03003,2.68199,2.32743,0.000171784,0.000171784,0.000171784
3,1329.54,1.97089,2.25545,2.02123,0.67929,0.49724,0.54579,0.30074,1.77631,2.20633,2.01564,0.000252509,0.000252509,0.000252509
4,1765.18,1.76934,1.88741,1.81894,0.80359,0.57512,0.64786,0.38114,1.6176,1.89984,1.84542,0.000247378,0.000247378,0.000247378
5,2200.89,1.661,1.68311,1.70114,0.81987,0.61847,0.69524,0.41991,1.56499,1.74274,1.77087,0.00024217,0.00024217,0.00024217
6,2640.8,1.58778,1.54792,1.62526,0.86536,0.6554,0.73124,0.45251,1.50338,1.60529,1.69241,0.000236963,0.000236963,0.000236963
