epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.676,3.70066,4.88449,3.64168,0.42447,0.0805,0.06367,0.02523,2.71412,3.93213,3.04364,8.76226e-05,8.76226e-05,8.76226e-05
2,877.561,2.45812,3.15555,2.49985,0.54113,0.33846,0.33481,0.16297,2.07048,2.71464,2.34258,0.000171819,0.000171819,0.000171819
3,1316.8,2.02514,2.40854,2.08363,0.7013,0.4816,0.51936,0.2853,1.80642,2.1662,2.06777,0.000252543,0.000252543,0.000252543
