epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.177,1.59672,3.35682,1.27941,0.68751,0.53996,0.57404,0.36009,1.34773,1.94709,1.18446,8.76226e-05,8.76226e-05,8.76226e-05
2,550.509,1.38732,1.68442,1.16894,0.78637,0.66812,0.72468,0.4588,1.31712,1.44874,1.14606,0.000169505,0.000169505,0.000169505
3,818.938,1.30214,1.35894,1.13427,0.82321,0.70724,0.7716,0.51117,1.22617,1.27506,1.12186,0.000245601,0.000245601,0.000245601
4,1105.17,1.2484,1.21147,1.11567,0.8602,0.74668,0.79906,0.54662,1.161,1.16796,1.10269,0.000236963,0.000236963,0.000236963
5,1399.26,1.2104,1.12,1.09795,0.85061,0.75556,0.80833,0.53957,1.20047,1.12252,1.10407,0.000228284,0.000228284,0.000228284
6,1689.35,1.18382,1.05149,1.08949,0.85014,0.74567,0.81595,0.54973,1.18696,1.06952,1.10432,0.000219605,0.000219605,0.000219605
