epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,581.44,3.73706,4.88897,3.67613,0.29164,0.08845,0.05864,0.02173,2.73995,3.98364,3.08731,8.75873e-05,8.75873e-05,8.75873e-05
2,1158.54,2.40879,3.02145,2.43484,0.56512,0.35883,0.36051,0.18165,2.01448,2.715,2.28784,0.000171784,0.000171784,0.000171784
3,1703.58,1.95585,2.2574,1.99119,0.66119,0.49562,0.54256,0.30066,1.78936,2.21134,2.01403,0.000252509,0.000252509,0.000252509
4,2260.24,1.76749,1.90247,1.79597,0.81125,0.57498,0.64513,0.378,1.64339,1.9322,1.84631,0.000247378,0.000247378,0.000247378
5,2826.06,1.66147,1.70833,1.6937,0.86154,0.61417,0.69569,0.41823,1.56156,1.76876,1.75123,0.00024217,0.00024217,0.00024217
