epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.987,1.60828,3.40758,1.28334,0.67211,0.55147,0.58135,0.36362,1.34988,1.94031,1.19244,8.76226e-05,8.76226e-05,8.76226e-05
2,676.374,1.39501,1.69407,1.16946,0.82878,0.65735,0.72631,0.47433,1.26119,1.43586,1.13952,0.000169505,0.000169505,0.000169505
3,993.241,1.30823,1.36944,1.13517,0.80865,0.71253,0.76879,0.51496,1.20881,1.29252,1.13165,0.000245601,0.000245601,0.000245601
4,1305.5,1.26019,1.23241,1.11937,0.83318,0.73636,0.78823,0.53792,1.17651,1.21694,1.11908,0.000236963,0.000236963,0.000236963
5,1649.95,1.21906,1.12748,1.10594,0.84034,0.752,0.80574,0.52771,1.23957,1.15723,1.13089,0.000228284,0.000228284,0.000228284
